GEO_ID,NAME,B19058_001E,B19058_002E,B19058_002M,B19058_003E,B19058_003M
0400000US13,Georgia,3885371,491162,6124,3394209,10268
13001,"Appling County, Georgia",6637,1443,268,5194,360
13003,"Atkinson County, Georgia",2968,570,144,2398,149
13005,"Bacon County, Georgia",3874,601,172,3273,245
13007,"Baker County, Georgia",1201,158,70,1043,149
13009,"Baldwin County, Georgia",15948,2431,380,13517,645
13011,"Banks County, Georgia",6483,653,134,5830,217
13013,"Barrow County, Georgia",28087,3402,434,24685,520
13015,"Bartow County, Georgia",38029,3815,518,34214,738
13017,"Ben Hill County, Georgia",6828,1263,223,5565,345
13019,"Berrien County, Georgia",6634,1287,230,5347,290
13021,"Bibb County, Georgia",58752,12608,979,46144,1026
13023,"Bleckley County, Georgia",4232,962,242,3270,255
13025,"Brantley County, Georgia",6625,1284,341,5341,371
13027,"Brooks County, Georgia",6004,1042,216,4962,302
13029,"Bryan County, Georgia",14796,1243,350,13553,485
13031,"Bulloch County, Georgia",28917,4460,547,24457,1051
13033,"Burke County, Georgia",8742,1307,244,7435,522
13035,"Butts County, Georgia",8440,1355,334,7085,473
13037,"Calhoun County, Georgia",1457,498,95,959,120
13039,"Camden County, Georgia",20032,2322,343,17710,532
13043,"Candler County, Georgia",4034,878,206,3156,242
13045,"Carroll County, Georgia",42635,6488,750,36147,883
13047,"Catoosa County, Georgia",25450,2696,523,22754,669
13049,"Charlton County, Georgia",3960,915,218,3045,257
13051,"Chatham County, Georgia",115403,14067,870,101336,1208
13053,"Chattahoochee County, Georgia",2404,392,132,2012,388
13055,"Chattooga County, Georgia",9189,1877,329,7312,343
13057,"Cherokee County, Georgia",94208,4207,572,90001,993
13059,"Clarke County, Georgia",52352,5610,690,46742,827
13061,"Clay County, Georgia",1286,371,102,915,156
13063,"Clayton County, Georgia",103399,20366,1184,83033,1243
13065,"Clinch County, Georgia",2361,435,193,1926,221
13067,"Cobb County, Georgia",287426,18958,1311,268468,1783
13069,"Coffee County, Georgia",14934,2520,446,12414,576
13071,"Colquitt County, Georgia",16219,3017,345,13202,488
13073,"Columbia County, Georgia",47597,3069,616,44528,1068
13075,"Cook County, Georgia",6056,942,191,5114,276
13077,"Coweta County, Georgia",53405,5153,643,48252,751
13079,"Crawford County, Georgia",4283,669,198,3614,283
13081,"Crisp County, Georgia",7651,2129,308,5522,346
13083,"Dade County, Georgia",6142,550,170,5592,290
13085,"Dawson County, Georgia",9776,962,303,8814,426
13087,"Decatur County, Georgia",10242,2117,339,8125,364
13089,"DeKalb County, Georgia",286068,38061,1963,248007,2401
13091,"Dodge County, Georgia",6569,1322,300,5247,317
13093,"Dooly County, Georgia",3888,972,189,2916,273
13095,"Dougherty County, Georgia",34338,9041,678,25297,967
13097,"Douglas County, Georgia",50188,6413,771,43775,989
13099,"Early County, Georgia",4034,967,195,3067,221
13101,"Echols County, Georgia",1327,118,61,1209,158
13103,"Effingham County, Georgia",22313,1899,385,20414,507
13105,"Elbert County, Georgia",7773,1384,243,6389,320
13107,"Emanuel County, Georgia",8245,2018,347,6227,463
13109,"Evans County, Georgia",3886,1014,162,2872,203
13111,"Fannin County, Georgia",11188,1389,279,9799,513
13113,"Fayette County, Georgia",42351,2078,425,40273,587
13115,"Floyd County, Georgia",35859,5154,520,30705,666
13117,"Forsyth County, Georgia",82293,3008,400,79285,585
13119,"Franklin County, Georgia",8346,1286,252,7060,287
13121,"Fulton County, Georgia",441958,54996,2322,386962,2672
13123,"Gilmer County, Georgia",12648,1133,240,11515,450
13125,"Glascock County, Georgia",1045,151,67,894,109
13127,"Glynn County, Georgia",33401,4476,618,28925,926
13129,"Gordon County, Georgia",20183,2267,421,17916,564
13131,"Grady County, Georgia",9760,2271,347,7489,372
13133,"Greene County, Georgia",7324,714,168,6610,295
13135,"Gwinnett County, Georgia",313172,23453,1467,289719,1801
13137,"Habersham County, Georgia",15123,1860,310,13263,506
13139,"Hall County, Georgia",67241,6454,629,60787,874
13141,"Hancock County, Georgia",2869,694,221,2175,431
13143,"Haralson County, Georgia",11240,1672,367,9568,376
13145,"Harris County, Georgia",12194,1182,239,11012,433
13147,"Hart County, Georgia",10111,1487,262,8624,379
13149,"Heard County, Georgia",4285,1143,217,3142,240
13151,"Henry County, Georgia",80672,7621,976,73051,1151
13153,"Houston County, Georgia",59627,6641,797,52986,1001
13155,"Irwin County, Georgia",3604,442,135,3162,245
13157,"Jackson County, Georgia",24874,2641,409,22233,510
13159,"Jasper County, Georgia",5300,762,183,4538,245
13161,"Jeff Davis County, Georgia",5246,929,315,4317,352
13163,"Jefferson County, Georgia",5625,1216,204,4409,288
13165,"Jenkins County, Georgia",3290,702,209,2588,355
13167,"Johnson County, Georgia",3201,744,149,2457,278
13169,"Jones County, Georgia",10444,1523,337,8921,378
13171,"Lamar County, Georgia",6811,883,278,5928,344
13173,"Lanier County, Georgia",3529,638,186,2891,227
13175,"Laurens County, Georgia",17366,3833,382,13533,553
13177,"Lee County, Georgia",11616,1002,238,10614,301
13179,"Liberty County, Georgia",22554,3827,450,18727,664
13181,"Lincoln County, Georgia",2953,371,87,2582,182
13183,"Long County, Georgia",5341,1041,281,4300,333
13185,"Lowndes County, Georgia",42512,7416,878,35096,928
13187,"Lumpkin County, Georgia",11102,1089,269,10013,405
13189,"McDuffie County, Georgia",8216,1376,303,6840,374
13191,"McIntosh County, Georgia",4706,986,242,3720,237
13193,"Macon County, Georgia",3907,1012,184,2895,262
13195,"Madison County, Georgia",10510,1583,339,8927,374
13197,"Marion County, Georgia",2924,592,129,2332,190
13199,"Meriwether County, Georgia",7895,1657,306,6238,378
13201,"Miller County, Georgia",2531,493,115,2038,151
13205,"Mitchell County, Georgia",7946,2619,361,5327,405
13207,"Monroe County, Georgia",10176,852,245,9324,331
13209,"Montgomery County, Georgia",2857,508,125,2349,175
13211,"Morgan County, Georgia",7246,1137,243,6109,330
13213,"Murray County, Georgia",14431,1898,336,12533,429
13215,"Muscogee County, Georgia",78491,13715,927,64776,1244
13217,"Newton County, Georgia",39342,6014,673,33328,803
13219,"Oconee County, Georgia",13965,520,173,13445,355
13221,"Oglethorpe County, Georgia",5276,633,160,4643,232
13223,"Paulding County, Georgia",54961,4837,726,50124,1035
13225,"Peach County, Georgia",10209,1848,324,8361,418
13227,"Pickens County, Georgia",12646,1070,271,11576,423
13229,"Pierce County, Georgia",7235,1252,234,5983,331
13231,"Pike County, Georgia",6200,500,135,5700,188
13233,"Polk County, Georgia",15507,2582,399,12925,465
13235,"Pulaski County, Georgia",3084,593,201,2491,346
13237,"Putnam County, Georgia",9499,1166,335,8333,524
13239,"Quitman County, Georgia",946,265,97,681,143
13241,"Rabun County, Georgia",6585,1029,191,5556,327
13243,"Randolph County, Georgia",2402,856,166,1546,219
13245,"Richmond County, Georgia",73631,14356,1021,59275,1317
13247,"Rockdale County, Georgia",32604,4176,460,28428,661
13249,"Schley County, Georgia",1600,322,98,1278,148
13251,"Screven County, Georgia",4707,689,134,4018,217
13253,"Seminole County, Georgia",3530,708,157,2822,198
13255,"Spalding County, Georgia",25852,4656,523,21196,557
13257,"Stephens County, Georgia",10037,1691,326,8346,463
13259,"Stewart County, Georgia",1665,480,164,1185,273
13261,"Sumter County, Georgia",10825,2562,375,8263,492
13263,"Talbot County, Georgia",2549,536,105,2013,137
13265,"Taliaferro County, Georgia",605,159,79,446,77
13267,"Tattnall County, Georgia",7556,1283,273,6273,379
13269,"Taylor County, Georgia",3096,1045,202,2051,209
13271,"Telfair County, Georgia",3020,623,164,2397,241
13273,"Terrell County, Georgia",3344,883,169,2461,198
13275,"Thomas County, Georgia",17817,3502,483,14315,615
13277,"Tift County, Georgia",15287,2449,389,12838,456
13279,"Toombs County, Georgia",9779,2279,316,7500,445
13281,"Towns County, Georgia",5323,422,121,4901,352
13283,"Treutlen County, Georgia",2236,625,148,1611,216
13285,"Troup County, Georgia",25216,4609,490,20607,656
13287,"Turner County, Georgia",3269,741,200,2528,242
13289,"Twiggs County, Georgia",2885,662,152,2223,242
13291,"Union County, Georgia",10172,1020,269,9152,519
13293,"Upson County, Georgia",10364,2377,331,7987,401
13295,"Walker County, Georgia",25629,3098,460,22531,672
13297,"Walton County, Georgia",33009,4008,470,29001,597
13299,"Ware County, Georgia",12763,2279,296,10484,434
13301,"Warren County, Georgia",1915,615,114,1300,137
13303,"Washington County, Georgia",7153,2036,288,5117,303
13305,"Wayne County, Georgia",10845,2206,372,8639,393
13307,"Webster County, Georgia",929,211,57,718,136
13309,"Wheeler County, Georgia",1526,274,92,1252,128
13311,"White County, Georgia",10251,1053,293,9198,418
13313,"Whitfield County, Georgia",35258,3451,497,31807,638
13315,"Wilcox County, Georgia",2446,409,90,2037,136
13317,"Wilkes County, Georgia",3988,629,178,3359,241
13319,"Wilkinson County, Georgia",3206,561,109,2645,170
13321,"Worth County, Georgia",7806,1394,235,6412,313
