OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edite,ACSDT5Y2021.B19058-Data_NAME,ACSDT5Y2021.B19058-Data_B19058_001E,ACSDT5Y2021.B19058-Data_B19058_002E,ACSDT5Y2021.B19058-Data_B19058_002M,ACSDT5Y2021.B19058-Data_B19058_003E,ACSDT5Y2021.B19058-Data_B19058_003M
"1","13","173","13173",Lanier,Lanier County,"10078",N,N,N,N,N,N,N,Southern Georgia,127874.000000000000000,199.802993770000000,LANIER,{7D637994-1D29-4646-A85C-439C1A06EA0E},,"Lanier County, Georgia","3529","638","186","2891","227"
"2","13","029","13029",Bryan,Bryan County,"30233",N,N,N,N,N,N,N,Coastal Regional Commission,291269.000000000000000,455.108001709999996,BRYAN,{AB662CC0-3C43-4DFC-A03B-ED6CA5322980},,"Bryan County, Georgia","14796","1243","350","13553","485"
"3","13","001","13001",Appling,Appling County,"18236",N,N,N,N,N,N,N,Heart of Georgia Altamaha,328036.999999999941792,512.557983400000012,APPLING,{DE5A63BB-4A0F-47A0-8306-85F49CF71F18},,"Appling County, Georgia","6637","1443","268","5194","360"
"4","13","241","13241",Rabun,Rabun County,"16276",N,N,N,N,N,N,N,Georgia Mountains,241186.000000000000000,376.854003910000017,RABUN,{9D3BC405-11BB-4510-85AB-C97A8ADC6B07},,"Rabun County, Georgia","6585","1029","191","5556","327"
"5","13","023","13023",Bleckley,Bleckley County,"13063",N,N,N,N,N,N,N,Heart of Georgia Altamaha,140237.000000000000000,219.121002199999992,BLECKLEY,{7667A96C-97FB-49CF-928D-C58C7E4156D7},,"Bleckley County, Georgia","4232","962","242","3270","255"
"6","13","113","13113",Fayette,Fayette County,"106567",Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,127543.000000000000000,199.285995479999997,FAYETTE,{0089049C-AF9E-48C9-83D8-75FE86DFE045},,"Fayette County, Georgia","42351","2078","425","40273","587"
"7","13","163","13163",Jefferson,Jefferson County,"16930",N,N,N,N,N,N,N,Central Savannah River Area,339140.999999999941792,529.908020019999981,JEFFERSON,{BE814DFF-62AC-4909-8B25-C2638D21012D},,"Jefferson County, Georgia","5625","1216","204","4409","288"
"8","13","253","13253",Seminole,Seminole County,"8729",N,N,N,N,N,N,N,Southwest Georgia,164181.000000000000000,256.532012940000016,SEMINOLE,{D227238E-663F-4D59-A9D0-179A2579919C},,"Seminole County, Georgia","3530","708","157","2822","198"
"9","13","039","13039",Camden,Camden County,"50513",N,N,N,N,N,N,N,Coastal Regional Commission,501015.000000000058208,782.836975100000018,CAMDEN,{555DA342-487B-4B0D-B256-5CC3469005F0},,"Camden County, Georgia","20032","2322","343","17710","532"
"10","13","127","13127",Glynn,Glynn County,"79626",N,N,N,N,N,N,N,Coastal Regional Commission,375084.000000000000000,586.067993160000015,GLYNN,{6208F96C-ED25-40A7-A0AD-E5B058E9F826},,"Glynn County, Georgia","33401","4476","618","28925","926"
"11","13","233","13233",Polk,Polk County,"41475",N,N,N,N,N,N,N,Northwest Georgia,199774.000000000000000,312.147003170000005,POLK,{750B0C1D-5CE0-47F6-8605-ADFE1B0E676B},,"Polk County, Georgia","15507","2582","399","12925","465"
"12","13","211","13211",Morgan,Morgan County,"17868",N,N,N,N,Y,N,N,Northeast Georgia,226933.000000000000000,354.583007810000026,MORGAN,{77264900-C504-4F22-BA88-409240758961},,"Morgan County, Georgia","7246","1137","243","6109","330"
"13","13","263","13263",Talbot,Talbot County,"6865",N,N,N,N,N,N,N,River Valley,252604.000000000000000,394.694000239999980,TALBOT,{3389D449-5ABA-4E65-A632-2E0E1FDB6EA4},,"Talbot County, Georgia","2549","536","105","2013","137"
"14","13","249","13249",Schley,Schley County,"5010",N,N,N,N,N,N,N,River Valley,107386.000000000000000,167.789993290000012,SCHLEY,{2F5FBCAA-09BB-4772-8AE4-FBA26B1847B9},,"Schley County, Georgia","1600","322","98","1278","148"
"15","13","291","13291",Union,Union County,"21356",N,N,N,N,N,N,N,Georgia Mountains,210522.000000000000000,328.940002440000001,UNION,{93971501-44A7-418F-B32B-5B331706FAD4},,"Union County, Georgia","10172","1020","269","9152","519"
"16","13","315","13315",Wilcox,Wilcox County,"9255",N,N,N,N,N,N,N,Heart of Georgia Altamaha,244539.000000000000000,382.092010500000015,WILCOX,{A70295BA-6C76-4EA8-992F-3C0DAD146AF5},,"Wilcox County, Georgia","2446","409","90","2037","136"
"17","13","299","13299",Ware,Ware County,"36312",N,N,N,N,N,N,N,Southern Georgia,581392.000000000000000,908.424987790000046,WARE,{BAB3887B-1194-4503-9B32-1CE8A6A3ACB5},,"Ware County, Georgia","12763","2279","296","10484","434"
"18","13","059","13059",Clarke,Clarke County,"116714",N,N,N,N,N,N,N,Northeast Georgia,77457.203125000000000,121.027000430000001,CLARKE,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,"Clarke County, Georgia","52352","5610","690","46742","827"
"19","13","169","13169",Jones,Jones County,"28669",N,N,N,N,N,N,N,Middle Georgia,253036.000000000000000,395.368011469999999,JONES,{47C8BCE7-694F-497E-BF2F-4406B91159A1},,"Jones County, Georgia","10444","1523","337","8921","378"
"20","13","045","13045",Carroll,Carroll County,"110527",N,N,N,Partial,Y,N,N,Three Rivers,322447.000000000058208,503.824005129999989,CARROLL,{33DEDEB8-8E54-40A7-A237-847405D84720},2015/10/14,"Carroll County, Georgia","42635","6488","750","36147","883"
"21","13","247","13247",Rockdale,Rockdale County,"85215",Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,84525.703125000000000,132.070999150000006,ROCKDALE,{1146BC41-D714-4074-BFCC-B1EA52C17B96},,"Rockdale County, Georgia","32604","4176","460","28428","661"
"22","13","083","13083",Dade,Dade County,"16633",N,N,N,N,N,N,N,Northwest Georgia,111481.000000000000000,174.188995360000007,DADE,{D5415141-E21E-4F67-9733-4D5F064EC36E},,"Dade County, Georgia","6142","550","170","5592","290"
"23","13","213","13213",Murray,Murray County,"39628",N,N,N,N,N,N,N,Northwest Georgia,221860.000000000000000,346.657012940000016,MURRAY,{E8ABF5B5-2273-4AC1-87D9-5AFBA20BF4B4},,"Murray County, Georgia","14431","1898","336","12533","429"
"24","13","067","13067",Cobb,Cobb County,"688078",N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,220455.000000000000000,344.459991460000026,COBB,{670FE76B-423B-4211-BFB0-8A9145225470},,"Cobb County, Georgia","287426","18958","1311","268468","1783"
"25","13","073","13073",Columbia,Columbia County,"124053",N,N,N,N,N,N,N,Central Savannah River Area,196979.000000000000000,307.778991700000006,COLUMBIA,{6A0F3E6B-D37E-419D-B8A9-ADDF6744F3B0},,"Columbia County, Georgia","47597","3069","616","44528","1068"
"26","13","117","13117",Forsyth,Forsyth County,"175511",N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,158154.000000000000000,247.115997310000012,FORSYTH,{4C27E78B-AD23-45A7-853A-CF98F6F55554},2021/07/01,"Forsyth County, Georgia","82293","3008","400","79285","585"
"27","13","009","13009",Baldwin,Baldwin County,"45720",N,N,N,N,N,N,N,Middle Georgia,171139.000000000000000,267.404998780000028,BALDWIN,{C55236A9-D42A-4314-A269-80306559B470},,"Baldwin County, Georgia","15948","2431","380","13517","645"
"28","13","295","13295",Walker,Walker County,"68756",N,N,N,N,N,N,N,Northwest Georgia,286115.000000000000000,447.053985599999976,WALKER,{2247BB29-7B35-4419-AA88-7F169BE9F6AD},,"Walker County, Georgia","25629","3098","460","22531","672"
"29","13","107","13107",Emanuel,Emanuel County,"22598",N,N,N,N,N,N,N,Heart of Georgia Altamaha,441960.999999999941792,690.565002439999944,EMANUEL,{8A6825E9-8F50-4281-B367-0F85B7C6548F},,"Emanuel County, Georgia","8245","2018","347","6227","463"
"30","13","123","13123",Gilmer,Gilmer County,"28292",N,N,N,N,N,N,N,Northwest Georgia,275947.000000000000000,431.166992189999974,GILMER,{F5584E0A-B932-4A72-BE96-EEF5D3233611},,"Gilmer County, Georgia","12648","1133","240","11515","450"
"31","13","301","13301",Warren,Warren County,"5834",N,N,N,N,N,N,N,Central Savannah River Area,183530.000000000000000,286.765991209999981,WARREN,{CEABC8FF-02A8-45E2-A9D6-0696012F1CA8},,"Warren County, Georgia","1915","615","114","1300","137"
